2403,3861,0.9894581659788064
6019,6863,0.9892579494152047
1818,5590,0.9894963679136423
2090,2927,0.9893612329150755
4412,2348,0.9893962358742706
225,2245,0.9895365878416063
188,2897,0.9897017779946422
141,1179,0.9894830649450549
149,4332,0.9891280747576435
5441,2953,0.9894233763029622
4303,5124,0.9895889124571429
6349,1615,0.9894202645088018
5020,3430,0.9893799755382331
1411,1686,0.9895591657748048
5346,4415,0.9892186442073742
2946,6973,0.9895659626622173
6295,4793,0.9896779362174154
5821,6780,0.9894535921283343
5080,5710,0.9895480783248444
6628,4160,0.9896603016405667
4209,3989,0.9896068182571052
2889,2665,0.9896157823595506
4993,345,0.9893518475595914
1928,4019,0.9895771568886443
1959,1380,0.9892846019977802
6832,4224,0.9896522265915493
2551,5319,0.9896185178040985
3208,2488,0.9895599079738562
388,794,0.9891683866963954
2922,613,0.989814619565628
5575,2276,0.9895878526216165
4261,1935,0.9893653845354876
3685,3303,0.9895941400075415
2543,4286,0.9898171468081146
2451,2903,0.989653442081949
2254,2753,0.9896335724777588
573,2052,0.9897103032173588
1038,5112,0.9894593125228186
4605,1606,0.9893248089458055
246,3886,0.9891350649841092
3107,3664,0.9893710978268877
6727,5986,0.9896106788952381
5797,3207,0.9894218191430161
1282,1101,0.9897890067740144
645,2027,0.9895042952698943
1114,6411,0.9893147996664814
2708,4456,0.9893837036016171
6722,3144,0.989254806619126
304,202,0.9890541497825676
2751,1681,0.9895828101294316
2257,1429,0.9898913375
5113,4237,0.9894955247480404
5084,5754,0.9891490514639639
2932,393,0.9894572796469939
6212,6166,0.989220371407811
1463,4508,0.9895016966039129
6500,1148,0.989673134506243
2080,2973,0.989466183286908
6266,3889,0.990045926591337
3294,6936,0.9894282835476057
2096,5396,0.9896502636854854
1193,2699,0.9892918973568282
586,2634,0.9897042212002244
1526,6274,0.9894506524645892
854,5026,0.9897450990273101
5245,4867,0.9897464109996283
6394,851,0.9894781708962176
1935,5381,0.9896385796884016
656,6855,0.9894259152059925
990,1184,0.9892236811253959
348,4608,0.9896389315037164
6534,3784,0.9891663871596762
4736,5050,0.9895680637277648
