id , author1 , author2
1 , dafa339d891093e469afec113ec77bef , ffb715da34927a62718dec71ee79846b
2 , 5e04549dde1e8c46f6aa8765344329fb , fea644c65f97236fe045dda929a5d55d
3 , 3637703c89134dc765d0e2626cb1c340 , 38cb1037172ca079cdce11cef9ef39ce
4 , 40524ba2439a3437c68b5655b64bca46 , 9a332f68fa0b2b01eee563d80beaf774
5 , 29867f5d134928707e4a32e461b91395 , aca2d11abe7663702b64e1ff396eb44c
6 , 3f0f19f5fe667872bf7b9df31a920ac2 , 5f612f9514a8b32707c26c5de2dde8b9
7 , 218394a5b4b7931a40e3cc514c0a41c5 , bf0ada0fa8849152653a07d8977bfc23
8 , 089d8f28483782241505e318d1863c16 , 3978a5de8897fb6791fdc08d6e81f8be
9 , 433817e4105deacde43894b6b04fdf8d , 680614e9ddb5970ea5235ab576a3b38a
10 , 0fa5d6a86dce8ec9a21305a6e9d7ecc6 , f5221fbd708edc15141b4d80d4596c9a
11 , 6a5012b2fab0e01f1edc14042b93a41f , bd6e983d5ac5d5e2811b51b877966ce0
12 , 1addff08ac8e326cf9633af96be59ff4 , 9fc21517f1d3cc7c562d133d59fa9330
13 , dde914801ac24ad301838417ae092e45 , ebd4ba6c1c393bb3dde1d8d492eef52a
14 , 0aa830074dd08ec0b36d97cd1d7e5f6d , fd8bf711ea7305f1a778345d2d974c77
15 , 969493f9027d4d47e8fba9f835d3d1fe , c0af8298a7705faa4dba1cb646acf145
16 , 47f00bd49398628fad2b3cfa68decd20 , 63a7e5a756b1072ca7f50df9697b7afe
17 , 30695965393dd4ed3f546ff0582d454c , 78c541c1fb5c2482f8500ee83fb31857
18 , d5f952dd0c240406ff728b172e59b486 , df16b739a76203050305c74b29afe902
19 , 482ccaca645445c50e556e39a96ebec9 , 6842fddb7439d2646efe206318d58227
20 , 89c8f3b3f2d861993f9e79c664e18d9a , adfe76863b7c6a20f9babff41121cb9b
21 , 49dd1aa5fa675c4159d456dfed3cfb44 , ba39f55f9b922b88dcccd79fec3c598a
22 , 1b1f3a47da98c1e0e2ae9a4af94106f8 , ef6fba8ecf8bb1c9f415589195655c35
23 , 42088891ece569bd271c2760dbbff60c , 6c53780f15ceab48a803ba784f7ddaa5
24 , 82652aac481f3b556499b48678bd0d6f , aa18362b0bc8b203beaea6aaf59a6ecc
25 , 7d5b1ef8b8339addb47bc8f545249021 , d8f61bca3fd9ea4f6d1c756305e2948e
26 , 0e3230b51a7ec76bdcb0e687277eb344 , 8482e94c28f54f7a1aa8fad968a3164b
27 , b243e6688702fa6a6279ac3570a8effa , b8f99a88b71e7cf859619f3841df6efe
28 , 5704fe876f072ed4bfc40ad530bfb875 , e5b1e7a4f9aaadd38adbdabc884b876c
29 , 627beeb251f46e6beeff2a387121c757 , e2e74d870441ddd6eb77f9efde599bd5
30 , 1f6c907851af5503085ca62513d4a5fa , 8264d80250fdaf7a2954227e3ca7d811
31 , 46b88a7833c91085e7ae45ef31776cc5 , 5c57bda88563e85102a0b41a8e29ee02
32 , bffd634cdcce9358defd890dc950b581 , fc5da9ba4110a13b4360170a0c286990
33 , 167d2902d60f87c1275f59b0633580a4 , 4c9dd9c43d45b4e4fc62b2da3fb23a34
